Product,Quantity,Price,Category
Alfa Mayonnaise,236 ml,৳ 125,Breakfast
Lurpak Butter Unsalted,200 gm,৳ 375,Breakfast
Ahmed Sugar Free Orange Jelly,375 gm,৳ 160,Breakfast
Amul Salted butter,500 gm,৳ 700,Breakfast
Nutella Hazelnut Cocoa Spread,750 gm,"৳ 1,079",Breakfast
Ahmed Sugar Free Guava Jelly,375 gm,৳ 160,Breakfast
Hershey's Caramel Syrup,623 gm,৳ 409,Breakfast
Ahmed Orange Squashe,500 gm,৳ 90,Breakfast
Sundrop Chocolatey Cocoa Nut Almond,350 gm,৳ 450,Breakfast
Ahmed Pineapple Jam,500 gm,৳ 130,Breakfast
Ahmed Guava Jelly,500 gm,৳ 130,Breakfast
Best Orange Marmalade Jam Conserve,450 gm,৳ 425,Breakfast
Khusboo Premium Lichy Jelly,500 gm,৳ 155,Breakfast
Khusboo Premium Orange Jelly,500 gm,৳ 125,Breakfast
Cavendish & Harvey Mixed Fruit Drops,200 gm,৳ 320,Breakfast
Cavendish & Harvey Clear Mint Drops,200 gm,৳ 320,Breakfast
Cavendish & Harvey Sour Lemon Drops,200 gm,৳ 320,Breakfast
Ahmed Mango Jam,500 gm,৳ 130,Breakfast
Saporito Tahini Spread,300 gm,৳ 550,Breakfast
ST-Dalfor Jam Strawberry,284 gm,৳ 550,Breakfast
ST-Dalfor Jam Four Fruits,284 gm,৳ 550,Breakfast
Sunsweet Amazin Prunes Pitted,200 gm,৳ 495,Breakfast
Sundrop Peanut Butter jelly (Grape),340 gm,৳ 360,Breakfast
Kazi Farms Kitchen Strawberry Jam,340 gm,৳ 230,Breakfast
Kazi Farms Kitchen Orange Jelly,340 gm,৳ 130,Breakfast
Stute Apricot Conserve Extra Jam,340 gm,৳ 335,Breakfast
Sundrop Peanut Butter Honey Roast Creamy,462 gm,৳ 390,Breakfast
Ahmed Mixed Fruit Jam,500 gm,৳ 130,Breakfast
